dept,number,prof,year,semester,section,A,B,C,D,F,I,S,U,Q,X,gpa
CSCE,110,DUTTA A,2017,SPRING,2010,56,48,25,19,6,0,0,0,18,0,2.838
CSCE,110,HOUNGNINOU D,2019,FALL,2012,64,50,35,14,7,1,0,0,23,0,2.882
CSCE,110,HOUNGNINOU D,2019,SPRING,3021,88,108,44,6,14,2,0,0,20,0,2.962
CSCE,110,HOUNGNINOU D,2019,SUMMER,700,19,11,3,3,5,0,0,0,1,0,2.878
CSCE,110,HOUNGNINOU D,2020,FALL,1197,81,48,28,7,4,0,0,0,16,0,3.161
CSCE,110,HOUNGNINOU D,2020,SPRING,2010,61,63,33,10,10,0,0,0,3,0,2.876
CSCE,110,HOUNGNINOU D,2020,SUMMER,399,41,24,3,3,5,1,0,0,4,1,3.224
CSCE,110,HOUNGNINOU D,2021,SUMMER,700,31,14,8,3,5,0,0,0,7,0,3.033
CSCE,110,HOUNGNINOU D,2022,SPRING,4732,49,42,23,12,14,0,0,0,40,0,2.714
CSCE,110,HOUNGNINOU D,2022,SUMMER,700,29,20,12,4,7,0,0,0,7,0,2.833
CSCE,110,HOUNGNINOU D,2023,SUMMER,700,32,18,7,1,3,0,0,0,5,0,3.23
CSCE,110,HURLEY J,2012,FALL,1506,47,46,15,7,3,0,0,0,2,0,3.076
CSCE,110,HURLEY J,2012,SUMMER,300,4,2,4,0,0,0,0,0,0,0,3.0
CSCE,110,LUPOLI S,2017,FALL,2012,17,54,58,15,11,0,0,0,20,0,2.329
CSCE,110,MAHMOOD M,2024,SPRING,1524,45,16,11,5,4,0,0,0,16,0,3.148
CSCE,110,MCGUIRE T,2021,SPRING,2010,47,72,28,9,5,0,0,0,11,0,2.913
CSCE,110,MENESES,2016,FALL,2012,26,33,25,11,8,0,0,0,41,0,2.563
CSCE,110,MENESES,2016,SPRING,1506,17,23,20,12,7,0,1,0,11,0,2.392
CSCE,110,NAKAMURA F,2017,FALL,1009,32,14,9,4,3,0,3,0,16,0,3.097
CSCE,110,NAKAMURA F,2018,FALL,2010,102,45,23,8,0,3,0,0,9,0,3.354
CSCE,110,NAKAMURA F,2018,SPRING,2010,72,36,27,13,11,0,0,0,14,0,2.912
CSCE,110,RITCHEY P,2015,SPRING,1007,13,13,7,2,4,0,0,0,19,0,2.744
CSCE,110,WILLIAMS T,2012,SPRING,2515,41,26,16,5,13,1,0,0,13,0,2.762
CSCE,110,WILLIAMS T,2013,FALL,1506,51,29,9,2,4,2,0,1,21,0,3.274
CSCE,110,WILLIAMS T,2013,SPRING,1506,43,30,18,5,4,0,0,0,9,0,3.03
CSCE,110,WILLIAMS T,2014,FALL,1506,49,19,26,4,4,0,0,0,25,0,3.029
CSCE,110,WILLIAMS T,2014,SPRING,1506,36,29,17,4,4,0,0,0,29,0,2.989
CSCE,110,WILLIAMS T,2015,FALL,1506,27,24,12,1,5,1,0,0,22,0,2.971
CSCE,110,WILLIAMS T,2015,SPRING,1003,27,13,12,9,4,0,0,0,23,0,2.769
CSCE,110,YUM K,2021,FALL,4028,40,77,41,11,5,0,0,0,9,0,2.782
CSCE,110,YUM K,2021,SPRING,1011,21,28,15,3,7,0,0,0,14,0,2.716
CSCE,110,YUM K,2022,FALL,4028,35,79,33,19,2,2,0,0,10,0,2.75
CSCE,110,YUM K,2022,SPRING,2390,25,22,24,4,4,0,0,0,11,0,2.759
CSCE,110,YUM K,2023,FALL,4028,42,80,33,12,7,0,0,0,14,0,2.793
CSCE,110,YUM K,2023,SPRING,4028,21,68,54,17,13,0,0,0,16,0,2.387
CSCE,110,YUM K,2024,SPRING,2516,29,38,19,3,7,0,0,0,7,0,2.823
CSCE,111,ANDERSEN F,2017,SPRING,1003,4,14,4,5,2,1,0,0,7,0,2.448
CSCE,111,DUARTE DINIZ,2017,FALL,1009,25,18,8,1,0,0,0,0,4,0,3.288
