dept,number,section,A,B,C,D,F,I,S,U,Q,X,prof,year,semester,gpa
CSCE,110,501,7,2,4,1,2,0,0,0,3,0,WILLIAMS T,2012,SPRING,2.6875
CSCE,110,502,12,6,1,1,4,0,0,0,1,0,WILLIAMS T,2012,SPRING,2.875
CSCE,110,503,6,8,5,1,3,0,0,0,2,0,WILLIAMS T,2012,SPRING,2.5652173913043477
CSCE,110,504,8,5,3,2,2,0,0,0,5,0,WILLIAMS T,2012,SPRING,2.75
CSCE,110,505,8,5,3,0,2,1,0,0,2,0,WILLIAMS T,2012,SPRING,2.9444444444444446
CSCE,110,300,4,2,4,0,0,0,0,0,0,0,HURLEY J,2012,SUMMER,3
CSCE,110,501,21,9,7,2,0,0,0,0,1,0,HURLEY J,2012,FALL,3.2564102564102564
CSCE,110,502,15,17,4,1,3,0,0,0,0,0,HURLEY J,2012,FALL,3
CSCE,110,503,11,20,4,4,0,0,0,0,1,0,HURLEY J,2012,FALL,2.9743589743589745
CSCE,110,501,13,11,7,2,1,0,0,0,4,0,WILLIAMS T,2013,SPRING,2.9705882352941178
CSCE,110,502,15,11,6,1,1,0,0,0,2,0,WILLIAMS T,2013,SPRING,3.1176470588235294
CSCE,110,503,15,8,5,2,2,0,0,0,3,0,WILLIAMS T,2013,SPRING,3
CSCE,110,501,22,12,3,0,0,0,0,1,2,0,WILLIAMS T,2013,FALL,3.5135135135135136
CSCE,110,502,14,5,5,1,4,2,0,0,9,0,WILLIAMS T,2013,FALL,2.8275862068965516
CSCE,110,503,15,12,1,1,0,0,0,0,10,0,WILLIAMS T,2013,FALL,3.413793103448276
CSCE,110,501,11,9,7,1,2,0,0,0,9,0,WILLIAMS T,2014,SPRING,2.8666666666666667
CSCE,110,502,14,11,5,1,0,0,0,0,9,0,WILLIAMS T,2014,SPRING,3.225806451612903
CSCE,110,503,11,9,5,2,2,0,0,0,11,0,WILLIAMS T,2014,SPRING,2.8620689655172415
CSCE,110,501,15,3,8,2,2,0,0,0,12,0,WILLIAMS T,2014,FALL,2.9
CSCE,110,502,18,5,14,1,0,0,0,0,4,0,WILLIAMS T,2014,FALL,3.05263157894737
CSCE,110,503,16,11,4,1,2,0,0,0,9,0,WILLIAMS T,2014,FALL,3.11764705882353
CSCE,110,501,13,7,8,2,2,0,0,0,13,0,WILLIAMS T,2015,SPRING,2.84375
CSCE,110,502,14,6,4,7,2,0,0,0,10,0,WILLIAMS T,2015,SPRING,2.6969696969697
CSCE,110,503,9,7,6,1,2,0,0,0,17,0,RITCHEY P,2015,SPRING,2.8
CSCE,110,504,4,6,1,1,2,0,0,0,2,0,RITCHEY P,2015,SPRING,2.64285714285714
CSCE,110,501,11,8,4,0,1,0,0,0,6,0,WILLIAMS T,2015,FALL,3.16666666666667
CSCE,110,502,11,11,3,1,1,0,0,0,5,0,WILLIAMS T,2015,FALL,3.11111111111111
CSCE,110,503,5,5,5,0,3,1,0,0,11,0,WILLIAMS T,2015,FALL,2.5
CSCE,110,501,3,10,6,8,4,0,0,0,6,0,MENESES,2016,SPRING,2
CSCE,110,502,10,11,6,4,3,0,0,0,4,0,MENESES,2016,SPRING,2.61764705882353
CSCE,110,503,4,2,8,0,0,0,1,0,1,0,MENESES,2016,SPRING,2.71428571428571
CSCE,110,501,13,7,7,3,4,0,0,0,10,0,MENESES,2016,FALL,2.64705882352941
CSCE,110,502,4,14,8,3,2,0,0,0,11,0,MENESES,2016,FALL,2.48387096774194
CSCE,110,504,5,3,5,2,0,0,0,0,7,0,MENESES,2016,FALL,2.73333333333333
CSCE,110,505,4,9,5,3,2,0,0,0,13,0,MENESES,2016,FALL,2.43478260869565
CSCE,110,501,11,15,8,3,1,0,0,0,4,0,DUTTA A,2017,SPRING,2.84210526315789
CSCE,110,502,19,10,6,7,1,0,0,0,2,0,DUTTA A,2017,SPRING,2.90697674418605
CSCE,110,503,14,16,3,6,1,0,0,0,3,0,DUTTA A,2017,SPRING,2.9
